id,nombres,apellidos,genero,fecha_nacimiento,dni,direccion,departamento_id,estado,tipo_sangre
103,Nanci,Glison,NB,2021-09-29,2555-1985-39457,73440 Rigney Trail,15,observación,A-
104,Clemmie,Beardwell,M,2022-01-19,2152-1922-15355,41 Quincy Road,6,crítico,O+
105,Piotr,Earlam,F,2022-04-22,9407-1960-27353,52846 Lakewood Circle,12,cita médica,B+
106,Tulley,Charlin,NB,2022-03-31,4570-2022-24552,87793 Gina Avenue,6,cirugía,AB+
107,Smitty,Wenderoth,NB,2021-09-27,6195-1944-97235,08309 American Trail,8,crítico,B+
108,Quinlan,Blencowe,M,2022-08-12,5010-1926-91498,53 Clarendon Circle,15,cirugía,B-
109,Colby,Huguenet,F,2022-01-11,7922-1992-88669,95 Spaight Place,6,alta,A+
110,Daron,Ponton,M,2022-08-17,3767-1932-54487,06435 Texas Hill,6,observación,B+
111,Martynne,Northin,M,2021-11-06,9497-1937-62036,42619 Amoth Drive,15,alta,O-
112,Griffith,East,NB,2022-01-21,8419-1934-28116,38 Columbus Junction,6,observación,B+
113,Graehme,Hugnin,F,2022-01-25,2477-1981-79924,28 Village Road,7,alta,B-
114,Damaris,Bricksey,F,2022-04-03,4423-1975-73661,1723 Thompson Drive,9,cita médica,AB-
115,Iolande,Allsepp,NB,2021-09-18,5266-2002-62855,9 Emmet Lane,1,observación,O+
116,Antonina,McKean,M,2022-07-31,7062-1949-93882,05 Cardinal Alley,6,alta,AB+
117,Raine,Keppel,M,2022-02-27,8074-2007-84688,053 Dunning Circle,13,cita médica,O+
118,Shepperd,Raittie,M,2022-06-24,7173-2019-91165,7365 Arkansas Plaza,1,cita médica,O-
119,Abbott,Foulstone,M,2021-10-29,9401-1942-36765,823 Kensington Pass,1,cita médica,A+
120,Colin,Le Port,F,2022-06-04,8007-1953-85606,23673 Corry Parkway,8,cirugía,AB+
121,Janella,Belhomme,NB,2022-07-19,3889-1997-53856,25 Almo Way,6,crítico,B+
122,Tyson,Heatley,F,2022-02-28,8509-2007-28296,4933 Buell Street,4,crítico,AB+
123,Hersch,Zuker,F,2022-06-25,3946-1929-12244,319 Birchwood Parkway,7,crítico,B-
124,Astra,Duesberry,M,2022-07-10,9075-1972-75159,3655 Kensington Drive,5,alta,B+
125,Mag,Ewington,F,2022-07-01,9975-1933-65241,737 Cherokee Junction,13,crítico,B+
126,Nicolais,Charlon,M,2021-09-18,6978-1970-31949,7 Bluestem Plaza,14,alta,B+
127,Tatum,Yannikov,NB,2022-01-02,1136-1957-48044,8 Westend Street,13,crítico,O+
128,Gavrielle,Kobsch,M,2021-08-29,7257-1969-78450,90 Commercial Place,11,crítico,AB+
129,Baryram,Starling,M,2021-12-14,6320-1962-70823,13905 Hallows Center,11,cita médica,A-
130,Garrot,Headon,F,2022-01-28,7573-1967-88803,0861 Orin Point,2,observación,B+
131,Woody,Neilands,F,2021-12-15,5868-2007-52346,6255 Grim Park,9,alta,B-
132,Davide,Mar,F,2022-02-23,9515-2020-74392,09981 Russell Center,2,cita médica,O-
133,Vivian,Hasnip,NB,2022-08-13,8062-1951-87033,1049 Hudson Park,2,cirugía,AB+
134,Clayborne,Jarville,M,2022-01-31,1663-1967-40206,73256 Petterle Alley,10,cita médica,AB+
135,Shandra,Hibling,M,2021-09-29,4114-1961-12715,4 Barby Road,3,cirugía,A-
136,Marlin,Boich,M,2021-12-12,7123-1996-28784,43495 Grim Avenue,1,observación,B-
137,Stanford,Van De Cappelle,F,2021-12-21,6060-1999-86301,5 Kipling Point,10,cirugía,B-
138,Lyndsie,ducarme,F,2022-03-25,8278-1952-73197,78830 Monument Trail,8,observación,B+
139,Kirstin,Matovic,F,2021-09-08,3718-2014-13086,48 Arrowood Lane,9,crítico,A+
140,Cecelia,Mathie,F,2021-08-18,6214-1957-62926,5 Hayes Crossing,5,cita médica,B+
141,Gerik,McCambrois,NB,2022-01-31,1322-1968-83308,74 Glendale Point,6,alta,AB-
142,Appolonia,Rosettini,NB,2021-10-07,6342-1924-24946,8 Maryland Alley,4,observación,AB-
143,Phylys,Clemendot,F,2022-07-26,2426-1969-75078,121 Anderson Place,13,cirugía,B-
144,Bell,Garaway,NB,2022-06-04,3660-1974-80345,482 Gale Terrace,14,observación,O-
145,Carleton,Cadding,NB,2022-01-21,5215-1932-38082,4 International Point,12,observación,O+
146,Antonia,Wycliffe,NB,2022-06-07,7138-1977-98260,58057 Main Park,6,crítico,AB+
147,Leena,Brimming,NB,2022-02-23,8620-2017-73959,36 Swallow Crossing,12,crítico,B+
148,Lenci,Durrance,NB,2022-03-21,8534-1990-67171,893 Barnett Terrace,11,cita médica,O-
149,Carlo,Pickavance,NB,2022-06-20,7850-1947-43919,3210 Florence Hill,9,crítico,A-
150,Inigo,Drogan,NB,2022-04-29,9652-1932-44011,3 8th Plaza,10,observación,B-
151,Cad,Brittles,NB,2022-02-02,8888-1995-73331,8912 Shopko Way,13,alta,A+
152,Ahmed,Dutson,F,2021-12-10,2413-1964-74324,41967 Wayridge Plaza,14,cita médica,B+
153,Blair,Pearce,F,2022-07-05,2094-1949-29515,422 Graceland Way,15,cita médica,A+
154,Levy,Jewsbury,M,2022-07-30,3611-1987-59821,1 Del Mar Park,9,cirugía,B+
155,Izak,Harbert,F,2022-04-21,6022-1939-65234,4 Spohn Lane,6,crítico,AB-
156,Brendan,Kennet,NB,2022-04-21,2680-1932-45720,96 Mallard Way,7,cita médica,O-
157,Alexi,Pattesall,NB,2022-04-08,8192-1928-77068,63 1st Drive,12,crítico,O-
158,Alair,Rolley,M,2021-08-26,5117-1974-55074,1881 Charing Cross Terrace,8,cirugía,O+
159,Freda,Vinall,F,2022-04-21,6166-1936-83987,904 Northfield Hill,4,crítico,O+
160,Pebrook,Beazley,F,2021-10-03,4453-1999-24572,658 Marcy Place,9,cirugía,A+
161,Marsh,Varren,NB,2022-01-05,2905-2000-71188,02149 La Follette Point,10,observación,B+
162,Klara,Wasling,NB,2022-04-20,9255-1930-80482,64 Lerdahl Road,6,cita médica,B+
163,Aldridge,Kivelle,M,2022-04-25,4099-1994-44493,280 Hallows Junction,11,cita médica,A-
164,Keelby,Wardlow,M,2022-03-25,1653-1928-65676,2 Fulton Drive,15,cita médica,B+
165,Cos,Inch,M,2022-01-05,7189-1932-41693,70 Clarendon Center,7,alta,B+
166,Stefanie,Bucher,M,2022-05-09,2451-1942-93992,58894 Pearson Drive,2,observación,O+
167,Etan,Sollam,F,2021-12-13,7494-1993-71058,83 Redwing Parkway,5,observación,B+
168,Raoul,Corrett,NB,2022-05-01,8164-1926-23285,12 Crownhardt Plaza,6,alta,AB-
169,Elyssa,Giacobo,NB,2021-10-14,7897-1949-31979,1868 Fremont Way,11,observación,O+
170,Hailee,Bener,F,2021-10-31,8409-1969-20786,09532 Ramsey Crossing,10,cirugía,A+
171,Seymour,Johanssen,F,2022-01-03,7238-1963-66892,3784 Park Meadow Junction,7,crítico,A-
172,Sybilla,Witheridge,NB,2021-10-16,8233-1979-93729,23026 Harbort Pass,6,cita médica,A+
173,Paulette,Tytterton,F,2021-10-15,9222-2012-39741,0737 Havey Place,12,alta,A+
174,Shirline,Stedall,F,2022-06-07,7772-1949-74325,32 Bobwhite Avenue,12,crítico,O+
175,Addison,Betham,M,2022-04-30,5349-1982-73228,51601 Dixon Way,3,cirugía,O-
176,Essie,Petyt,F,2021-12-01,5539-2020-19746,9717 Eagan Park,6,observación,B+
177,Andriette,Ornils,NB,2022-05-07,4502-2022-15111,7188 Tony Lane,4,observación,B-
178,Sadie,Eggleston,F,2022-03-21,1982-1975-14997,09 Pearson Crossing,10,alta,B+
179,Lucilia,Ramelot,F,2022-02-02,2260-2001-99758,344 Jenna Street,6,cirugía,AB-
180,Meggi,Carlozzi,F,2022-03-04,7390-2009-31510,45 Vahlen Lane,7,alta,O-
181,Manny,Stockney,F,2022-03-16,4415-1964-72863,08 East Circle,7,cirugía,B-
182,Binny,Yitzovitz,NB,2022-08-03,6172-1945-92297,9 Golf View Junction,10,cita médica,O+
183,Bridgette,Garlant,F,2021-11-04,1526-2010-52938,8 Starling Hill,8,alta,A+
184,Hewett,Becraft,F,2021-10-01,4146-2014-95313,0 Washington Alley,5,cirugía,B-
185,Olympia,Slate,NB,2022-04-16,8901-1941-26971,3 Loftsgordon Court,15,crítico,O-
186,Myra,Gladdish,M,2022-04-17,2992-1948-48270,61261 Paget Park,2,observación,AB+
187,Madelene,Thurner,F,2022-06-05,5700-1942-72234,4258 Declaration Place,2,cita médica,B-
188,Luisa,Kettel,NB,2022-05-11,7722-1994-78970,07 Mayer Trail,13,alta,A+
189,Fidelity,Loft,NB,2021-10-22,2900-1951-88018,53347 Londonderry Way,7,alta,B-
190,Jammal,Dalton,M,2022-05-27,6323-1958-63750,0 Vernon Avenue,10,cirugía,A+
191,Clotilda,Blackeby,M,2022-04-09,1823-1957-57801,2 Hansons Plaza,7,observación,AB-
192,Boony,Yurkov,NB,2022-06-01,1991-1978-97534,0 Amoth Circle,7,crítico,AB-
193,Aleen,Marflitt,F,2022-07-19,1532-1974-77787,02117 Shopko Way,4,observación,B+
194,Aldridge,Cashman,F,2022-04-23,6615-1996-78905,5 Merry Road,11,cita médica,AB-
195,Dolly,Flemyng,F,2021-11-16,5656-1953-47861,236 Arizona Crossing,15,cirugía,AB+
196,Feliza,Fonte,F,2022-05-28,3280-1957-59307,87 Park Meadow Crossing,10,cita médica,AB+
197,Edvard,Withinshaw,M,2021-12-05,5008-1956-23484,3 Stang Avenue,7,observación,O+
198,Jamill,Elvish,M,2022-06-19,8065-1970-82669,422 Hallows Trail,12,crítico,A-
199,Dougy,McNamee,NB,2021-09-22,5914-1982-55171,23887 Village Hill,8,cirugía,O-
200,Donica,Pimbley,M,2022-02-06,5139-1972-83294,78 Delaware Court,11,crítico,O-
201,Aurore,Francom,F,2022-01-16,9139-2008-36202,0 Sachtjen Terrace,7,observación,AB+
202,Raviv,Groundwater,F,2022-03-12,9507-1998-92238,4273 Quincy Center,9,cita médica,A-
203,Lotta,Wigsell,NB,2021-12-09,3005-2005-29379,98447 Summer Ridge Crossing,1,observación,AB-
204,Brynne,Goundrill,M,2022-03-05,6859-1952-63657,9322 Carpenter Avenue,13,observación,A-
205,Clea,Longmore,NB,2022-03-24,8986-2016-42223,43 Glendale Parkway,4,cita médica,A+
206,Kylila,Flukes,NB,2021-08-24,5717-1940-18681,87 Morrow Court,12,crítico,AB+
207,Elladine,McKendry,NB,2021-11-04,7228-1929-62262,1406 Arkansas Avenue,15,crítico,O-
208,Margot,Abram,M,2021-10-01,1122-1940-59827,8997 Harper Point,4,observación,O+
209,Alexandra,Abbison,NB,2022-03-23,4175-2017-61692,91 Loomis Circle,2,observación,B-
210,Sofia,Curtoys,NB,2022-03-26,6795-1986-20465,094 Clarendon Crossing,10,observación,B-
211,Eleanore,Poundesford,M,2022-07-18,6163-1959-71997,09638 Jackson Way,2,observación,B-
212,Shalom,Osselton,NB,2022-04-30,4891-1930-16354,050 Manufacturers Parkway,7,crítico,B-
213,Casie,Gownge,NB,2021-11-12,8841-1991-45049,450 Bartillon Park,15,observación,B+
214,Janine,MacGragh,F,2022-01-29,7899-2004-75653,6 Kim Avenue,8,alta,O-
215,Torrence,Pocknell,NB,2022-03-03,7971-1980-25342,6 Dunning Pass,13,cita médica,A-
216,Shepherd,Ferreras,NB,2021-08-25,8799-1991-79072,059 Donald Terrace,3,cirugía,O-
217,Priscella,Wythill,F,2022-07-25,8260-1991-18738,6 Acker Lane,1,cita médica,B-
218,Smitty,Brawley,M,2022-06-13,4308-1958-86935,37784 Crescent Oaks Drive,7,cirugía,O-
219,Harmony,Ouldcott,M,2022-07-06,2646-2011-98502,62 Waxwing Hill,11,crítico,O+
220,Corbett,Longbottom,M,2022-03-06,6940-1987-86063,42311 Victoria Park,1,observación,AB+
221,Christabel,Bence,M,2022-01-23,8413-1945-92359,103 Tony Hill,7,crítico,B+
222,Ave,Look,F,2021-11-16,6084-2005-63097,40 Hauk Alley,1,crítico,O+
223,Joceline,Lubbock,NB,2021-11-16,8744-2020-53584,5 Hooker Parkway,3,cirugía,O+
224,Karim,Kilmaster,NB,2022-08-11,3744-1964-51896,75 Merrick Center,3,crítico,A-
225,Karilynn,Peckitt,NB,2021-09-01,7166-1964-42127,99 6th Point,14,cirugía,O-
226,Desiri,Sickamore,M,2022-05-15,1035-1970-12478,07 Iowa Trail,10,cirugía,B+
227,Lezlie,Caine,NB,2022-08-14,9467-1975-81090,7772 Dapin Road,9,crítico,O+
228,Teirtza,Lurcock,F,2021-12-23,8711-1989-83512,58 Hooker Place,2,alta,A+
229,Giovanna,Brilleman,M,2022-05-02,3906-1928-86306,8 Mccormick Terrace,14,cirugía,O+
230,Johnnie,Yurasov,NB,2022-05-23,9140-1925-82559,1 Lakeland Street,2,observación,A-
231,Tobe,Burgen,M,2022-05-19,8394-2009-59313,7 Pepper Wood Junction,12,cita médica,B-
232,Jay,Najara,F,2022-03-26,9704-1986-94565,2 Hoffman Street,13,cirugía,B+
233,Nev,Adamovitz,NB,2022-03-28,4123-1952-27890,551 Anniversary Hill,3,alta,AB+
234,Perice,Aburrow,F,2022-05-04,6103-2010-15016,184 Debs Court,14,alta,O-
235,Ichabod,Phillput,M,2022-04-17,2065-1928-26171,71183 Hanover Drive,6,cirugía,B+
236,Concordia,Clint,F,2022-03-29,5445-2021-68063,057 Warner Avenue,8,crítico,A-
237,Tammy,Freake,M,2022-04-01,6160-2011-58941,627 East Parkway,15,cita médica,O+
238,Sergent,Gilardi,NB,2022-07-15,4670-1977-48488,4036 Colorado Circle,13,alta,A-
239,Judah,Andriss,NB,2021-12-05,4151-2000-88270,47 Sugar Drive,1,alta,A+
240,Pierrette,Tackes,M,2022-06-28,3270-1933-16763,09 Buell Drive,15,cirugía,B+
241,Allis,Ambrois,F,2022-05-17,8396-1971-18783,60029 Packers Point,3,cirugía,A+
242,Jorge,Leavesley,NB,2022-08-17,1918-2004-54266,10658 Oak Valley Trail,12,alta,AB-
243,Jed,Tembey,F,2022-08-14,5218-1945-74092,985 Forest Dale Circle,14,crítico,A+
244,Johannes,Dufer,NB,2021-12-08,4026-1974-51535,023 Talmadge Avenue,11,cirugía,B+
245,Hastings,Cabena,F,2021-11-17,5294-2004-94030,74322 Old Shore Alley,2,cirugía,B+
246,Pattin,Rudledge,NB,2021-08-25,8908-1981-25202,226 Toban Court,11,observación,B-
247,Dominik,Springall,F,2022-04-04,8258-1994-83047,8 Northview Pass,4,cita médica,B+
248,Christal,Goley,F,2021-11-17,6914-2010-54580,00138 Northport Court,11,alta,B-
249,Taylor,Deelay,M,2022-03-28,4949-2022-21404,8 Village Trail,9,cita médica,AB-
250,Christiana,Chevalier,NB,2022-07-04,5311-1922-22600,56 Arkansas Plaza,15,observación,AB-
251,Kerk,Blanch,NB,2021-08-23,6799-2022-87154,2 Gerald Alley,1,alta,AB-
252,Chelsie,Kenrick,NB,2021-09-28,8160-1977-82651,361 Veith Parkway,1,alta,A+
253,Hartley,Borland,M,2022-03-23,5425-1995-30296,2504 Nevada Road,2,alta,B+
254,Yasmin,Newbatt,F,2022-05-09,4541-1995-21647,82 Oxford Park,4,observación,B+
255,Loralie,Zimek,M,2021-10-04,7202-1945-98637,82 Lien Pass,11,cita médica,O-
256,Jermain,Gilvear,F,2022-03-09,2947-1992-51731,2256 Porter Road,15,cirugía,O-
257,Lauretta,Mundow,F,2021-11-10,5324-1922-56616,29 Logan Junction,3,cita médica,A+
258,Diann,Van Arsdall,F,2021-10-15,3340-1952-50653,8860 Green Parkway,2,cirugía,O-
259,Wynn,Mandeville,M,2021-11-19,3977-1945-14716,38615 Clyde Gallagher Avenue,11,observación,A+
260,Dreddy,Lawrinson,F,2021-08-27,3310-2022-79118,79 Forster Terrace,8,crítico,A+
261,Kynthia,Dunthorn,F,2021-12-03,4245-2005-19541,6 Shoshone Alley,5,crítico,AB-
262,Judy,Giacobo,NB,2022-06-22,4556-1940-34421,4 Hollow Ridge Junction,9,cirugía,AB+
263,Emlyn,Yvens,M,2022-05-16,9864-1995-89193,713 Schlimgen Court,6,cita médica,AB+
264,Dee dee,Savoury,M,2021-10-29,2451-1941-90906,99409 Briar Crest Hill,13,crítico,B-
265,Vitoria,Garard,NB,2021-11-28,8472-2008-64914,8 Division Park,3,alta,A-
266,Neilla,Radage,F,2022-06-19,4164-2017-46137,99198 Veith Point,14,cita médica,O-
267,Ronna,Acreman,F,2022-03-21,1252-1997-36673,4642 Sutteridge Avenue,11,cirugía,AB-
268,Mackenzie,Callear,F,2022-07-26,1642-1973-27376,42140 Sundown Point,8,cirugía,B+
269,Anthiathia,Van Oort,M,2022-07-08,5345-1946-83449,7 Independence Lane,7,cita médica,B+
270,Derril,Crum,M,2022-07-22,5377-1948-84490,0 Charing Cross Plaza,10,crítico,B+
271,Quintin,McClure,F,2022-07-18,9471-2019-14684,4582 Rutledge Hill,9,observación,B+
272,Dominic,Brazear,NB,2022-08-10,2968-1974-10912,946 Mallory Place,8,cita médica,AB-
273,Suzy,Jewel,NB,2022-01-29,8313-1984-23189,5 Badeau Drive,9,observación,AB-
274,Carrissa,Hillock,F,2022-02-12,3380-1963-57357,5459 Lakewood Gardens Street,12,cita médica,A+
275,Shawna,Patterfield,M,2022-05-30,6106-1990-32907,5 Saint Paul Circle,13,cita médica,A-
276,Bertina,Folland,M,2022-04-26,5399-1979-21121,9357 Comanche Point,9,alta,AB-
277,Cornela,Po,F,2021-08-25,7078-1934-68077,1111 Fairfield Trail,4,crítico,O-
278,Marshal,Reddish,NB,2022-03-26,8600-1947-31524,28 Corscot Place,2,alta,O-
279,Solomon,Lasslett,M,2022-01-07,1124-1988-31222,04 Monument Circle,4,cirugía,O+
280,Elijah,MacAfee,NB,2022-03-09,5361-1940-73269,00481 Mosinee Road,12,alta,O+
281,Gibb,Sambiedge,NB,2022-05-11,4271-1921-75099,095 Rockefeller Way,7,cita médica,B+
282,Arluene,Siburn,M,2021-11-08,8478-1921-89426,77 Buell Avenue,8,cita médica,A-
283,Adara,MacAndie,F,2022-07-18,6331-2008-84385,6 Granby Park,7,cirugía,O+
284,Anna-diane,Kensington,NB,2022-05-12,2725-1943-71626,6503 Dapin Way,6,cirugía,B+
285,Renate,Dawbery,M,2022-05-07,6408-2000-67031,7158 Crownhardt Place,8,cirugía,B+
286,Lauralee,Simoens,NB,2022-04-23,9153-1969-95394,7028 Huxley Alley,12,cirugía,AB+
287,Shaun,Applegarth,M,2022-06-24,9137-1969-44847,43 Sullivan Hill,9,observación,AB+
288,Shannen,Matousek,F,2022-02-22,1553-1972-53443,71650 Coleman Terrace,6,observación,O-
289,Hunter,Brandacci,F,2022-02-14,2010-2011-55002,88 4th Hill,2,cita médica,A+
290,Annemarie,Dowry,NB,2022-03-01,3564-1935-25699,62 5th Center,5,alta,B+
291,Aland,Fowden,M,2021-10-18,6987-1972-78322,72 Merchant Lane,1,cirugía,O+
292,Tiffanie,Stratley,M,2022-02-07,9878-1999-18761,747 Moose Place,6,cita médica,AB+
293,Nolly,McWhan,M,2022-06-28,1275-1987-68381,880 Holmberg Terrace,1,alta,AB-
294,Ashlie,Cordall,F,2022-03-14,7090-1973-56546,3869 Debra Lane,7,observación,A+
295,Germain,Broady,M,2022-02-21,8571-1935-61598,891 Shasta Hill,7,observación,O+
296,Marlene,Oboy,M,2021-10-23,4584-1992-40288,9132 Express Court,4,crítico,A-
297,Waldemar,Jaqueminet,F,2022-03-10,7326-2015-96391,23105 Grover Park,12,cita médica,O-
298,Horatio,Murrthum,NB,2022-06-07,2997-1923-69882,3241 Eggendart Place,8,observación,AB-
299,Marne,McCrillis,M,2022-02-02,9135-2017-40730,9 Erie Place,12,cirugía,O-
300,Thedrick,Penrith,M,2022-01-07,2924-1939-20210,9 Dexter Court,4,crítico,A-
301,Shelly,Landsbury,M,2021-10-20,7869-1945-13533,507 Sutteridge Center,11,alta,O-
302,Flossi,Somerled,M,2022-06-16,1157-2015-68446,78 Acker Park,14,crítico,O+
303,Sybille,de Leon,NB,2022-05-20,4118-1965-88788,81 Rutledge Pass,11,alta,AB-
304,Mignon,Weddup,NB,2022-05-11,9028-1980-60029,00165 Merchant Court,7,observación,O+
305,Doloritas,Tankus,NB,2021-12-03,7075-1931-38842,1657 Lakeland Park,13,cita médica,B-
306,Marin,Blackall,M,2021-12-18,2958-1992-62069,002 Westend Plaza,1,crítico,AB+
307,Pavel,Demicoli,F,2021-12-27,6224-2011-47530,469 Heath Circle,13,alta,O+
308,Gwyn,Gallienne,NB,2022-06-13,7410-1932-90420,5 Lukken Center,10,observación,O-
309,Gavrielle,Borthe,M,2022-05-04,3088-1958-98452,1 Carey Lane,4,observación,A+
310,Andeee,Bransby,M,2022-03-10,8471-2011-29992,67280 Mcguire Pass,1,crítico,O+
311,Martita,Eccleston,M,2021-10-29,2910-1944-21495,37 Sauthoff Place,6,cirugía,O+
312,Shurwood,Berkowitz,F,2022-01-31,4967-1932-87829,90 Kipling Junction,10,observación,AB-
313,Errick,Bumfrey,F,2021-09-28,5718-2014-71928,02 Upham Park,3,alta,O+
314,Else,Weal,M,2022-07-27,2376-1991-38527,73582 Crest Line Street,10,cita médica,B-
315,Fanchette,St Clair,NB,2022-05-22,4538-2013-86812,66385 Westport Circle,6,alta,O-
316,Nicol,Harme,NB,2021-12-12,3885-2008-19324,1850 Ridge Oak Circle,7,cirugía,B-
317,Cathie,Beavan,NB,2022-07-15,4143-1942-29773,1897 Dakota Plaza,14,observación,A+
318,Lock,Harrie,M,2021-11-11,4907-1973-87930,875 Charing Cross Alley,4,cirugía,A+
319,Elsy,Melato,NB,2022-01-31,4328-1957-28517,6 Clyde Gallagher Lane,13,cita médica,O+
320,Emilio,Sedgefield,NB,2021-12-04,2350-2019-31029,6 Little Fleur Park,10,cita médica,AB-
321,Anne-corinne,Gauche,M,2021-09-18,8574-2002-83072,6 John Wall Hill,11,crítico,O+
322,Cherish,Penwarden,NB,2022-06-08,1204-1969-68997,484 Harbort Terrace,15,cirugía,O+
323,Sigismond,Cottage,NB,2022-04-23,8807-1974-25134,06575 Meadow Vale Terrace,4,observación,AB-
324,Husain,Mowbray,NB,2022-04-22,6329-1979-59224,3 Hoepker Street,3,alta,B-
325,Morie,O'Sharry,NB,2022-08-09,8837-1997-62872,3427 Larry Junction,6,alta,AB-
326,Jennette,Walkling,F,2021-10-24,8068-1984-80840,74049 Summerview Park,12,alta,AB+
327,Cloe,Ebbetts,F,2022-05-20,5789-1922-71717,6 Vidon Hill,9,crítico,A+
328,Meggy,Rake,NB,2021-08-18,4092-1944-36953,79 Dennis Center,6,cirugía,A-
329,Evered,Clyburn,NB,2021-12-18,6167-2019-10618,2 Delaware Terrace,7,observación,O-
330,Colby,Gouth,NB,2021-08-28,9544-1993-91987,28 Warner Point,3,cita médica,B-
331,Kerwinn,Margrie,F,2022-04-15,9974-2006-80159,64 Macpherson Court,13,observación,AB-
332,Brocky,Geraldo,NB,2022-08-10,6831-1929-87502,15895 Columbus Parkway,11,alta,A+
333,Naomi,Claybourne,M,2022-04-20,4471-1992-96611,50 Caliangt Pass,11,alta,O+
334,Zuzana,Wales,F,2021-10-15,7373-1989-16177,99019 Grayhawk Plaza,7,crítico,A+
335,Hodge,Heffer,M,2022-05-31,8759-2018-23766,410 Holy Cross Parkway,1,crítico,B-
336,Dyann,Chinge de Hals,NB,2022-01-16,6807-1937-13145,30 Transport Court,14,cita médica,B-
337,Gregorio,Tregido,M,2022-01-29,1677-1924-95792,94254 Waywood Park,13,crítico,A+
338,Sandro,Inkpen,NB,2022-07-21,5478-1934-53473,33 Rusk Junction,3,alta,O+
339,Poppy,Bewicke,M,2021-12-28,1449-1991-54944,7 Brentwood Junction,9,observación,B-
340,Rutledge,Gabler,NB,2021-09-18,8761-1929-56425,74 Transport Hill,12,crítico,A-
341,Gabriel,Norquay,NB,2021-11-19,8271-2001-31520,4 Sage Court,10,cita médica,A+
342,Ashli,Kinleyside,NB,2022-08-07,7327-1940-73969,26 Dahle Hill,11,observación,A+
343,Red,Schimank,NB,2021-12-08,5362-1962-28318,1 Jenna Road,7,crítico,A+
344,Jerrie,Manuel,NB,2022-04-26,2481-1955-27413,533 Briar Crest Crossing,12,cita médica,O-
345,Amble,Eiler,NB,2022-01-21,6904-1951-69280,940 Grasskamp Junction,10,cirugía,AB-
346,Paton,Chitter,M,2022-05-08,2795-1993-72540,5 Autumn Leaf Trail,8,alta,AB+
347,Margeaux,Feeley,NB,2022-06-17,4308-1986-94722,206 La Follette Way,13,cita médica,B+
348,Alex,Iannelli,F,2022-05-02,1367-1975-84542,20540 Myrtle Park,15,crítico,B-
349,Norina,Thorne,M,2021-12-06,4525-1989-91674,13432 Barnett Hill,14,observación,B-
350,Kelsey,Bladge,F,2021-11-18,1185-2013-79957,69844 Marcy Place,1,crítico,A-
351,Jeramey,Vaneev,F,2022-04-09,6310-1937-83131,70 Homewood Pass,4,cita médica,AB+
352,Abigail,Scoffham,M,2022-02-27,9938-1932-17500,95 Kinsman Crossing,2,alta,B+
353,April,Essam,F,2021-12-04,2060-1933-30415,78 Springs Court,5,alta,A+
354,Marlin,Childerhouse,F,2021-09-05,7741-1961-82066,492 Rigney Parkway,3,observación,O-
355,Yard,Roswarn,M,2021-12-05,2597-2012-67178,442 Dakota Court,9,cita médica,A+
356,Ailina,Lambourne,F,2022-02-23,6149-1921-38196,6266 Browning Trail,8,cirugía,B+
357,Nicolais,Antoniottii,M,2022-07-12,5636-1953-21004,4092 Scofield Hill,13,alta,B+
358,Lorita,Cavet,F,2022-05-18,7097-1981-95613,93 Elka Hill,8,crítico,O-
359,Darcee,Cumine,M,2022-05-29,8646-1947-55678,93374 Sunnyside Parkway,3,cirugía,B-
360,Malena,O'Doireidh,F,2021-11-09,2667-1985-42600,49 Monica Junction,12,cirugía,AB+
361,Sisely,Imlach,NB,2022-07-10,3468-2021-64887,64 Coolidge Place,7,cita médica,O-
362,Rona,Wyard,F,2022-02-15,9026-1968-57031,440 Reinke Center,5,cita médica,AB+
363,Constancia,Pomphrett,NB,2022-06-18,3031-1983-74844,2108 Hauk Crossing,10,observación,B-
364,Hall,Heintz,F,2022-03-10,7543-1927-49487,4 Bunker Hill Avenue,6,alta,AB+
365,Erica,Vasyagin,NB,2021-12-20,6600-1973-63434,3635 Texas Alley,5,observación,O-
366,Florella,Needham,M,2022-01-06,5945-2022-16904,18597 Sunbrook Point,11,crítico,A+
367,Zsazsa,Blazdell,NB,2022-03-23,1573-2007-38237,4883 Kennedy Trail,10,cita médica,O-
368,Krissy,Bool,NB,2021-11-13,2469-2010-21803,2423 Utah Plaza,5,alta,O-
369,Raffaello,Neles,NB,2022-05-27,7092-1955-49519,13 Ruskin Street,2,alta,A+
370,Melisa,Studdal,F,2021-09-29,3832-1993-26159,59 Carpenter Park,1,crítico,A-
371,Leyla,Stanyon,NB,2022-07-24,8402-1938-80860,8 Badeau Court,10,alta,B+
372,Anjanette,Ivanichev,M,2022-01-21,5603-2003-27564,4861 Truax Terrace,2,observación,A+
373,Currey,Maith,NB,2021-12-23,5017-2017-28039,58 Fisk Street,4,cita médica,AB-
374,Yasmin,Ashlee,NB,2021-12-30,4009-1955-52041,5 Corry Point,8,cita médica,O+
375,Corine,Christoforou,F,2021-10-27,8163-2008-40682,97007 Shelley Way,11,alta,B-
376,Gilberta,Dumbare,M,2022-06-12,1071-1957-59941,23821 Kingsford Crossing,6,cita médica,AB+
377,Simon,Trousdell,NB,2022-03-05,3392-1989-72551,09619 North Trail,12,cirugía,AB-
378,Roderich,Jon,NB,2021-09-11,8554-2022-10905,947 Claremont Crossing,8,cirugía,AB-
379,Dasi,Sisson,NB,2021-11-23,9333-1961-53755,3 Farwell Junction,12,alta,AB+
